ID,NM_DISTRITO,LONG,LAT,ID_ADJS
2093,FIGUEIRÓPOLIS,-49.1738467307434,-12.1367799832225,[]
2094,FILADÉLFIA,-47.484964141532,-7.3376119059308,[]
2096,FORMOSO DO ARAGUAIA,-49.5268603629125,-11.8051419686495,[]
2111,FORTALEZA DO TABOCÃO,-48.5174264210488,-9.05896530114982,[]
2112,GOIANORTE,-48.9368901923611,-8.77052080482939,[]
2113,GOIATINS,-47.3154354891583,-7.7091723901957,[]
2124,GUARAÍ,-48.5086406064702,-8.83616565750443,[]
2128,GURUPI,-49.0714774689303,-11.72977232286,[]
2131,IPUEIRAS,-48.4519262288947,-11.2462886215917,[]
2133,ITACAJÁ,-47.768112402678,-8.39098055231856,[]
2142,ITAGUATINS,-47.4799359489833,-5.77538508840222,[]
2144,ITAPIRATINS,-48.1111996094691,-8.38432959344297,[]
2145,ITAPORÃ DO TOCANTINS,-48.6932637032248,-8.56882861156054,[]
2146,JAÚ DO TOCANTINS,-48.5946082927248,-12.6529263692706,[]
2149,JUARINA,-49.0986431854272,-8.11742396760678,[]
2150,LAGOA DA CONFUSÃO,-49.620085339146,-10.7886955575897,[]
2162,LAGOA DO TOCANTINS,-47.5614466302738,-10.2968866969998,[]
2163,LAJEADO,-48.3585039506901,-9.74468243573559,[]
2164,LAVANDEIRA,-46.5066757157435,-12.7916587876518,[]
2165,LIZARDA,-46.6751654558461,-9.59457028780967,[]
2167,LUZINÓPOLIS,-47.856828041414,-6.19398966023577,[]
2168,MARIANÓPOLIS DO TOCANTINS,-49.6510339944378,-9.79888035935058,[]
2170,MATEIROS,-46.412465743092,-10.5444288460778,[]
2171,MAURILÂNDIA DO TOCANTINS,-47.5048799601751,-5.95256642121045,[]
2173,MIRACEMA DO TOCANTINS,-48.3879913115193,-9.56834607764652,[]
2176,MIRANORTE,-48.5926319369139,-9.51740473109312,[]
2177,MONTE DO CARMO,-48.1104200299112,-10.7635421946238,[]
2179,MONTE SANTO DO TOCANTINS,-48.9908906033935,-10.005591431794,[]
2181,PALMEIRAS DO TOCANTINS,-47.5586835262825,-6.61186233456171,[]
2182,MURICILÂNDIA,-48.6067452770067,-7.13851928516033,[]
2183,NATIVIDADE,-47.7272575338232,-11.7053573825042,[]
2185,NAZARÉ,-47.6669771825263,-6.37255796928561,[]
2190,NOVA OLINDA,-48.4248067900164,-7.6333149106925,[]
2193,NOVA ROSALÂNDIA,-48.9061807245023,-10.5668711393323,[]
2196,NOVO ACORDO,-47.6681483922167,-9.96848646570169,[]
2198,NOVO ALEGRE,-46.5772973536675,-12.9099386744081,[]
2199,NOVO JARDIM,-46.6307872958899,-11.815875050149,[]
